time,SO4_sfc_diff,SO2_sfc_diff,DMS_sfc_diff,HMS_sfc_diff,SS_sfc_diff,SF_sfc_diff,NK_sfc_diff
2022-07-23 14:00:00,1.9525808451389455e-11,6.647383703008445e-11,1.1184296739206027e-11,1.7896214100540918e-13,-1.1342815783660895e-14,1.0807470511484016e-11,-33427213.308120728
2022-07-23 15:00:00,1.9673062182835626e-11,6.980420532145027e-11,1.0269531930828986e-11,2.06159278380505e-13,-1.1228174885310176e-14,1.0732470780886327e-11,-28196215.28416443
2022-07-23 16:00:00,1.973334874003221e-11,7.394590013315439e-11,1.3836842187788698e-11,2.1545371172582436e-13,-1.0685673816295815e-14,1.0765817131775004e-11,95043607.47732544
2022-07-23 17:00:00,1.96422496094219e-11,7.665737783263597e-11,1.8530790926249514e-11,2.1510424176795973e-13,-1.0517300973481616e-14,1.0866009384468327e-11,196320818.2928009
2022-07-23 18:00:00,1.9298987254138154e-11,7.826748409644099e-11,2.116187603048573e-11,2.0895058296954044e-13,-1.0892266082295737e-14,1.075271158013088e-11,237819018.67106628
2022-07-23 19:00:00,1.880830836235504e-11,8.069441079938596e-11,2.0028168716327466e-11,1.9544390765500732e-13,-9.732067282052471e-15,1.0463798238499969e-11,274253195.22254944
2022-07-23 20:00:00,1.8209863943066457e-11,8.061388654412336e-11,1.9580417114475732e-11,1.9019663855737494e-13,-8.400083507387697e-15,1.0170159252841426e-11,272165486.1983948
2022-07-23 21:00:00,1.785640187693461e-11,7.525772196918305e-11,2.675978442284564e-11,1.8910481613711924e-13,-9.488823912832564e-15,9.881214020329578e-12,247056488.2252655
2022-07-23 22:00:00,1.7582903991284232e-11,7.065497507395252e-11,3.482564381867413e-11,1.9193045603550014e-13,-1.0647926380713252e-14,9.538201650362319e-12,169076445.824646
2022-07-23 23:00:00,1.772493363403517e-11,6.745865454608603e-11,3.915452412566819e-11,2.1303955886260394e-13,-1.2239719947595156e-14,9.242838590722099e-12,-723351251.9582825
2022-07-24 00:00:00,1.797627761061161e-11,6.675613312146433e-11,4.170218181753375e-11,2.4777818060851087e-13,-1.3948331772643652e-14,8.907229984090204e-12,-992374545.3955841
2022-07-24 01:00:00,1.8358278292410443e-11,6.7603500467598e-11,4.3101426785844796e-11,2.760140233324298e-13,-1.470673420240751e-14,8.637854261900114e-12,-396948339.8499298
