time,20.0–26.0N,26.0–30.0N,30.0–34.2N
2022-08-01 03:00:00,2.1126921437654052e-11,1.3633623381504733e-11,1.1755835016387843e-11
2022-08-01 04:00:00,2.095694803851402e-11,1.3977484357419427e-11,1.1912754398274127e-11
2022-08-01 05:00:00,2.0773104388553076e-11,1.4342540415166236e-11,1.2084771740437689e-11
2022-08-01 06:00:00,2.062364656810897e-11,1.498134043787737e-11,1.2412219145415722e-11
2022-08-01 07:00:00,2.053947296403535e-11,1.5745110257133312e-11,1.2810712387570865e-11
2022-08-01 08:00:00,2.061214330091313e-11,1.6464595078214244e-11,1.3140955690783641e-11
2022-08-01 09:00:00,2.085473118057048e-11,1.7313284574655783e-11,1.3391155132680285e-11
2022-08-01 10:00:00,2.130780825110743e-11,1.8212563302511024e-11,1.3535700844663922e-11
2022-08-01 11:00:00,2.193101553744391e-11,1.899370294661395e-11,1.3628133399833238e-11
2022-08-01 12:00:00,2.2768182239441348e-11,1.982565620080621e-11,1.3518097426247737e-11
2022-08-01 13:00:00,2.3745958302524008e-11,2.060526132179863e-11,1.3281443705759964e-11
2022-08-01 14:00:00,2.469257998726788e-11,2.1140482299751104e-11,1.3084588517000288e-11
2022-08-01 15:00:00,2.5474353997203635e-11,2.1708195494031227e-11,1.2805618369591196e-11
2022-08-01 16:00:00,2.6127747595487474e-11,2.2242117669928847e-11,1.247382944043179e-11
2022-08-01 17:00:00,2.6679950704434382e-11,2.261346262341732e-11,1.2165054130637078e-11
2022-08-01 18:00:00,2.7111655315684895e-11,2.3208269693333735e-11,1.1953209136670758e-11
2022-08-01 19:00:00,2.743529145132018e-11,2.4062286435616866e-11,1.1759623452363834e-11
2022-08-01 20:00:00,2.7746691493339058e-11,2.4972028677042232e-11,1.1540338813917341e-11
2022-08-01 21:00:00,2.822220541224725e-11,2.6343763403374365e-11,1.1275715163181582e-11
2022-08-01 22:00:00,2.892269905277657e-11,2.7865910926951394e-11,1.1024506270421483e-11
2022-08-01 23:00:00,2.985548615870475e-11,2.9031289448473828e-11,1.0804662881073635e-11
2022-08-02 00:00:00,3.0700520707134673e-11,3.060480219868433e-11,1.0614642456328995e-11
2022-08-02 01:00:00,3.140932417904798e-11,3.224963159551491e-11,1.0461860780504951e-11
2022-08-02 02:00:00,3.198852278102089e-11,3.3415566779633184e-11,1.0330748671768485e-11
2022-08-02 03:00:00,3.199979071323012e-11,3.4989012416292394e-11,1.0358904564682769e-11
2022-08-02 04:00:00,3.159199193534126e-11,3.676156151202426e-11,1.052354351240968e-11
2022-08-02 05:00:00,3.1096312992722994e-11,3.810756478938271e-11,1.0726869908330865e-11
2022-08-02 06:00:00,3.062811271849622e-11,3.935236549070183e-11,1.1022750122916547e-11
2022-08-02 07:00:00,3.029220295938046e-11,4.034966146797618e-11,1.1380732824777407e-11
2022-08-02 08:00:00,3.0141668283072714e-11,4.079026617887086e-11,1.1734517729500921e-11
2022-08-02 09:00:00,3.020858883008575e-11,4.0625442371033426e-11,1.2053711209608989e-11
2022-08-02 10:00:00,3.042183747047207e-11,3.986893993584441e-11,1.2327478405717215e-11
2022-08-02 11:00:00,3.081086688913699e-11,3.8711738190234735e-11,1.2568174646588392e-11
2022-08-02 12:00:00,3.138141058423637e-11,3.7303037851129015e-11,1.2636370276610771e-11
2022-08-02 13:00:00,3.2078057639670145e-11,3.566643726497712e-11,1.2585669360435337e-11
2022-08-02 14:00:00,3.284133881646292e-11,3.3941524430704094e-11,1.2529367608295353e-11
2022-08-02 15:00:00,3.365433765134135e-11,3.233961582336194e-11,1.2412103052438284e-11
2022-08-02 16:00:00,3.439303257598338e-11,3.090790964308415e-11,1.2231215534542154e-11
2022-08-02 17:00:00,3.5024222727355926e-11,2.959677653747608e-11,1.2020922725891135e-11
2022-08-02 18:00:00,3.568146280981276e-11,2.8329990301758542e-11,1.1806685958066404e-11
2022-08-02 19:00:00,3.6295534374131995e-11,2.6958648115116546e-11,1.1586993634578063e-11
2022-08-02 20:00:00,3.665736037639677e-11,2.549228366785181e-11,1.135376486796601e-11
2022-08-02 21:00:00,3.6757279792279876e-11,2.40327509517431e-11,1.1149623325145073e-11
2022-08-02 22:00:00,3.650912036310881e-11,2.2575588665888782e-11,1.0985970084645065e-11
2022-08-02 23:00:00,3.5864594607996105e-11,2.1167221242784067e-11,1.0849427888551876e-11
2022-08-03 00:00:00,3.506517502052772e-11,2.0031895453080364e-11,1.0822339436404606e-11
2022-08-03 01:00:00,3.41999517640332e-11,1.9145103181352936e-11,1.0939669805409701e-11
2022-08-03 02:00:00,3.317374848257801e-11,1.8414091804553168e-11,1.11907149567152e-11
2022-08-03 03:00:00,3.215674134232887e-11,1.7837853324221656e-11,1.1580534531302877e-11
2022-08-03 04:00:00,3.1246798423796276e-11,1.7436262562544248e-11,1.2078065832764774e-11
2022-08-03 05:00:00,3.0298543352643187e-11,1.7234848155314565e-11,1.2635449597762513e-11
2022-08-03 06:00:00,2.926428622188555e-11,1.6916548565056604e-11,1.339057388151295e-11
2022-08-03 07:00:00,2.8170635539025237e-11,1.6546813321718473e-11,1.4297774968914703e-11
2022-08-03 08:00:00,2.7081038527399182e-11,1.6266340268962018e-11,1.519661076591201e-11
2022-08-03 09:00:00,2.609827695078966e-11,1.5842668247046805e-11,1.5804840154698215e-11
2022-08-03 10:00:00,2.5248310766526318e-11,1.5343724162402635e-11,1.6225608390936666e-11
2022-08-03 11:00:00,2.4526931348113287e-11,1.4991716930700105e-11,1.67052300676988e-11
2022-08-03 12:00:00,2.3792506333734492e-11,1.464229743159408e-11,1.712087480110337e-11
2022-08-03 13:00:00,2.3101788505715952e-11,1.4298456690032824e-11,1.7512245936133863e-11
2022-08-03 14:00:00,2.260600185127038e-11,1.4018557283402684e-11,1.7973389412823476e-11
2022-08-03 15:00:00,2.2012988878660757e-11,1.3791113939422008e-11,1.850373722410448e-11
2022-08-03 16:00:00,2.1345616713230607e-11,1.3602438198120732e-11,1.9082836418977287e-11
2022-08-03 17:00:00,2.074885308601464e-11,1.3443059797915713e-11,1.970124064979993e-11
2022-08-03 18:00:00,2.0086939241388114e-11,1.3382811014357804e-11,2.040719505556694e-11
2022-08-03 19:00:00,1.9516791102568903e-11,1.3234753675129212e-11,2.1177297513686574e-11
2022-08-03 20:00:00,1.9181802503283686e-11,1.2850199435290813e-11,2.1963537541074814e-11
2022-08-03 21:00:00,1.891924805558462e-11,1.251850692047864e-11,2.2876949712697678e-11
2022-08-03 22:00:00,1.8519483437530642e-11,1.2514803906773528e-11,2.3915498250026965e-11
2022-08-03 23:00:00,1.7931933846120888e-11,1.2848600362852895e-11,2.4967348461968293e-11
2022-08-04 00:00:00,1.7345856630161347e-11,1.3454843964676833e-11,2.5952724393311612e-11
2022-08-04 01:00:00,1.692951939705792e-11,1.4130197942379079e-11,2.687596491532693e-11
2022-08-04 02:00:00,1.667517286717825e-11,1.4774503969644084e-11,2.7783464016102408e-11
2022-08-04 03:00:00,1.6583877621663448e-11,1.533325940209384e-11,2.863569012632809e-11
2022-08-04 04:00:00,1.664270778507263e-11,1.5822221147492626e-11,2.948771016061044e-11
2022-08-04 05:00:00,1.684229256263467e-11,1.6256543159154828e-11,3.0380221327724585e-11
2022-08-04 06:00:00,1.7086880593328913e-11,1.651201545744263e-11,3.1411952315013784e-11
2022-08-04 07:00:00,1.7370400119636943e-11,1.6699172518909593e-11,3.249124698226209e-11
2022-08-04 08:00:00,1.7681168721882924e-11,1.70142359183239e-11,3.341026406265512e-11
2022-08-04 09:00:00,1.7772366413530577e-11,1.7506240485478803e-11,3.409478537636643e-11
2022-08-04 10:00:00,1.7614431831847074e-11,1.8219043968312365e-11,3.452533895247519e-11
2022-08-04 11:00:00,1.734439486755749e-11,1.915133920809974e-11,3.474390047258817e-11
2022-08-04 12:00:00,1.686608203582489e-11,2.0208621307638376e-11,3.484554946285725e-11
2022-08-04 13:00:00,1.637157506059138e-11,2.1317053089627933e-11,3.486752518777551e-11
2022-08-04 14:00:00,1.6035828719324593e-11,2.248841335952097e-11,3.482359048477144e-11
2022-08-04 15:00:00,1.571710527416775e-11,2.373757809086787e-11,3.472452372561106e-11
2022-08-04 16:00:00,1.5453973510362756e-11,2.506859484449058e-11,3.459685974927053e-11
2022-08-04 17:00:00,1.5347471800391617e-11,2.6412792405823825e-11,3.4444171786985745e-11
2022-08-04 18:00:00,1.5396270528961618e-11,2.7844804195867133e-11,3.4308783273740144e-11
2022-08-04 19:00:00,1.5628184043863143e-11,2.929046260066455e-11,3.4269556733345597e-11
