time,SO4_UT14-16km_diff,SO2_UT14-16km_diff,DMS_UT14-16km_diff,HMS_UT14-16km_diff,SS_UT14-16km_diff,SF_UT14-16km_diff,NK_UT14-16km_diff
2022-07-28 09:00:00,3.1409604748734554e-12,1.5290279404413331e-12,7.826138533569217e-13,1.3774975861440042e-14,-1.1278358433434648e-14,3.4904492360085743e-12,54884136750.02657
2022-07-28 10:00:00,3.1385301952271223e-12,1.500000647734433e-12,7.92739848013685e-13,1.377478627275537e-14,-1.1301665904276162e-14,3.4853627233184096e-12,51413333132.04806
2022-07-28 11:00:00,3.1326689017974627e-12,1.4702900920670082e-12,8.034747948203871e-13,1.3761615395565582e-14,-1.1306733894622899e-14,3.4773175127147513e-12,48251401018.0367
2022-07-28 12:00:00,3.125808726969675e-12,1.4341926332589168e-12,7.894619537343058e-13,1.3754632411613273e-14,-1.1247272124443238e-14,3.4687421927884775e-12,45338603670.801575
2022-07-28 13:00:00,3.1173697673324e-12,1.3937271816920892e-12,7.588477721178943e-13,1.3747297816832542e-14,-1.1126890211186335e-14,3.4588267229031883e-12,42559373152.35212
2022-07-28 14:00:00,3.1057972277212457e-12,1.354248478978623e-12,7.295921075833314e-13,1.3726934384146374e-14,-1.1018293943245842e-14,3.446363284474643e-12,39884396673.79088
2022-07-28 15:00:00,3.0908672175226796e-12,1.313787362261975e-12,6.900597122145734e-13,1.3684374628363765e-14,-1.08773639196261e-14,3.431601623448821e-12,37325110881.945656
2022-07-28 16:00:00,3.074559237035594e-12,1.272581511169836e-12,6.459599493877878e-13,1.3626025807424548e-14,-1.0720156392531306e-14,3.4155239661327707e-12,34882604394.21831
2022-07-28 17:00:00,3.057993980485923e-12,1.2322986971913413e-12,6.077251613974005e-13,1.3558402296270627e-14,-1.0565314921827005e-14,3.3988371335551696e-12,32598821650.61219
2022-07-28 18:00:00,3.0457654456071298e-12,1.1936503546551692e-12,5.695593823640107e-13,1.3465951850580772e-14,-1.042328305766181e-14,3.385421158708689e-12,30584427173.883316
2022-07-28 19:00:00,3.0355826250169267e-12,1.1575394857330209e-12,5.389160164119969e-13,1.3374092017450934e-14,-1.0316252381706536e-14,3.372121854463569e-12,28829526892.420685
2022-07-28 20:00:00,3.024577239604521e-12,1.1355114496492408e-12,5.054012891133208e-13,1.3298952883236327e-14,-1.0223149394229275e-14,3.358314156823445e-12,27304597805.331196
2022-07-28 21:00:00,3.0139627008923027e-12,1.154423337161359e-12,4.3325468156223874e-13,1.3234435792382431e-14,-1.0142763866320542e-14,3.3468791660021804e-12,26709512901.20444
2022-07-28 22:00:00,3.0051284009983715e-12,1.1894438243921725e-12,3.5957214528473334e-13,1.3173880558857532e-14,-1.0078835045128253e-14,3.339905321255445e-12,28304032291.789993
2022-07-28 23:00:00,2.9989781924084602e-12,1.2176057541758962e-12,3.278333696178231e-13,1.3105988537762942e-14,-1.0015626684765556e-14,3.336413267604963e-12,31583597202.631126
2022-07-29 00:00:00,2.991832070766586e-12,1.2407900485333593e-12,3.131551069759378e-13,1.3030230092031282e-14,-9.94689463762649e-15,3.3322767932330735e-12,35318797563.97284
2022-07-29 01:00:00,2.9847203567281757e-12,1.265894864174272e-12,3.0779428576322065e-13,1.2976230872243877e-14,-9.879905423859321e-15,3.3290352685110034e-12,38807420047.928085
2022-07-29 02:00:00,2.979824344450784e-12,1.2883365614903483e-12,2.990965037919578e-13,1.295569583613185e-14,-9.8069104240686e-15,3.3255689991183654e-12,41911308223.61512
2022-07-29 03:00:00,2.9766766510883676e-12,1.320202188043128e-12,2.836713440280257e-13,1.2916985696682638e-14,-9.75036804971744e-15,3.3223331490283655e-12,45066991403.80014
2022-07-29 04:00:00,2.974438813873939e-12,1.360620739205846e-12,2.6523804709236566e-13,1.286818269635265e-14,-9.710097181618921e-15,3.319627214140962e-12,48196379683.2251
2022-07-29 05:00:00,2.9727653388484023e-12,1.397120312632784e-12,2.4664755923228627e-13,1.2849751094454813e-14,-9.666568794934816e-15,3.3171478854359015e-12,50874364541.082634
2022-07-29 06:00:00,2.9659184646793587e-12,1.4314001552027365e-12,2.4470542332938365e-13,1.2831197692667673e-14,-9.626277289645983e-15,3.31346330966225e-12,52884339845.65346
2022-07-29 07:00:00,2.954089438360309e-12,1.4612073420552752e-12,2.5822351839444885e-13,1.2821376172361028e-14,-9.597738822687231e-15,3.303863531867445e-12,53260865103.52548
2022-07-29 08:00:00,2.9389469760591486e-12,1.4819175483343547e-12,2.8212856230209265e-13,1.2833282953014766e-14,-9.562437989140316e-15,3.28958101855379e-12,51759989668.21821
2022-07-29 09:00:00,2.9212417861516597e-12,1.4794727443751128e-12,3.4476473569696936e-13,1.2831598168951675e-14,-9.56815760798174e-15,3.2725910162997443e-12,48496192440.09024
2022-07-29 10:00:00,2.9041521041334994e-12,1.4522092628988078e-12,4.520927177299532e-13,1.2955895911925822e-14,-9.731987967098033e-15,3.253803839521979e-12,44323399366.22682
2022-07-29 11:00:00,2.888572648955249e-12,1.4133950639161617e-12,6.008560465588511e-13,1.3145966105819121e-14,-1.0109357879147339e-14,3.235818013686992e-12,40490492391.41443
2022-07-29 12:00:00,2.87506802153863e-12,1.363303049090217e-12,8.760181505355264e-13,1.3298222031845881e-14,-1.0824616364025027e-14,3.223117331955101e-12,36826420375.45519
2022-07-29 13:00:00,2.8624064526391796e-12,1.325665113994916e-12,1.244775532741453e-12,1.3357276892980918e-14,-1.1425490614303758e-14,3.2143912079893396e-12,33621250461.12268
2022-07-29 14:00:00,2.849271749184894e-12,1.3663889314799964e-12,1.6159402839137603e-12,1.3341416391531604e-14,-1.1695141433419872e-14,3.207543628155979e-12,31181244115.28223
2022-07-29 15:00:00,2.837607264195628e-12,1.445470764046833e-12,1.9433425389059852e-12,1.333650133979694e-14,-1.1989121225192609e-14,3.2012382265634804e-12,29586633981.020596
2022-07-29 16:00:00,2.8264304488215495e-12,1.5345584835137643e-12,2.2613784985711446e-12,1.3374395277415946e-14,-1.2379596266630483e-14,3.1937507185509997e-12,28331078383.578804
2022-07-29 17:00:00,2.815227019281109e-12,1.628687433663784e-12,2.605731192862845e-12,1.3438966709914319e-14,-1.2739017852922972e-14,3.1856163038207378e-12,27031580860.219
2022-07-29 18:00:00,2.8056192106385757e-12,1.683611083089726e-12,2.870396626259814e-12,1.3503211784066425e-14,-1.3036424658161421e-14,3.176183010915045e-12,25797921277.59458
2022-07-29 19:00:00,2.797057984399245e-12,1.7194295288460274e-12,3.0829209442103837e-12,1.3546864709183618e-14,-1.3294783517044848e-14,3.1665575616900512e-12,24653770089.80968
2022-07-29 20:00:00,2.7893755391654145e-12,1.7412255583478907e-12,3.262335655437128e-12,1.361566862331214e-14,-1.3565980460381197e-14,3.1597737566003897e-12,23526491932.788845
2022-07-29 21:00:00,2.783920673695405e-12,1.8183754682050998e-12,3.2129642484426383e-12,1.3695762047397919e-14,-1.366787709318394e-14,3.158077892904313e-12,16995302913.913841
2022-07-29 22:00:00,2.785764937453076e-12,2.094817175465692e-12,2.8169388847044778e-12,1.3750967222351264e-14,-1.3661915950603976e-14,3.1664171601890316e-12,14395989068.179993
2022-07-29 23:00:00,2.8047348970627744e-12,2.44488374143143e-12,2.321127958745068e-12,1.3823658984765255e-14,-1.3685796858729384e-14,3.189299250926079e-12,33754347946.694183
2022-07-30 00:00:00,2.8347823876108696e-12,2.73802325458659e-12,1.854120793732421e-12,1.388158354872103e-14,-1.3637701453600306e-14,3.2218517114884165e-12,62124838084.828064
2022-07-30 01:00:00,2.8688274583292553e-12,2.9465927749622545e-12,1.4814748800475485e-12,1.3915737065149747e-14,-1.3518613132877062e-14,3.258850304085376e-12,83028450554.13602
2022-07-30 02:00:00,2.9066542380621863e-12,3.0882926076953136e-12,1.2008587552943954e-12,1.3947769516868201e-14,-1.3413409580016583e-14,3.298418974289103e-12,95575909973.16644
2022-07-30 03:00:00,2.947034212153035e-12,3.2138289563041555e-12,9.897750867870608e-13,1.3953299443009213e-14,-1.3321726783419247e-14,3.34110699935216e-12,105600784018.50565
2022-07-30 04:00:00,2.988442841865627e-12,3.335328428988015e-12,8.355076304743883e-13,1.3982324701551616e-14,-1.3265896200587093e-14,3.3821682798839822e-12,110934727510.07541
2022-07-30 05:00:00,3.026544628786561e-12,3.425460585223023e-12,7.205022343135941e-13,1.4082441048045905e-14,-1.3257603982995378e-14,3.420054294663026e-12,112331103643.4527
2022-07-30 06:00:00,3.0603345704519643e-12,3.521407499194677e-12,6.598880487649547e-13,1.435863426306977e-14,-1.3347589741863387e-14,3.452197939269434e-12,108336413915.69083
2022-07-30 07:00:00,3.08743516959408e-12,3.625410010272091e-12,6.585361037195797e-13,1.479565471197823e-14,-1.3599940532036671e-14,3.476279001629017e-12,104189742744.44217
2022-07-30 08:00:00,3.1065863308058344e-12,3.700923678972419e-12,7.03718161662628e-13,1.5242653869504618e-14,-1.400613215688454e-14,3.488409541810531e-12,98857425111.41138
2022-07-30 09:00:00,3.114652095455951e-12,3.722028271660656e-12,7.973740031116297e-13,1.5662229858496247e-14,-1.4469068788982508e-14,3.48774320219784e-12,89636980262.7409
2022-07-30 10:00:00,3.1081731605932205e-12,3.668545337544772e-12,9.418879020862296e-13,1.6035997069896164e-14,-1.5050545313559707e-14,3.4725439399142243e-12,77612567208.49533
2022-07-30 11:00:00,3.0872624445864136e-12,3.5720564004217102e-12,1.1141004945443017e-12,1.629458256025464e-14,-1.5689667590683115e-14,3.442226786975753e-12,67488036900.06781
2022-07-30 12:00:00,3.06251431479242e-12,3.4352246197727616e-12,1.2557698382337491e-12,1.637783052655779e-14,-1.6085240310541226e-14,3.4135717507489407e-12,60217333070.18695
2022-07-30 13:00:00,3.03546946103363e-12,3.2775687343614504e-12,1.3645029776541598e-12,1.635063612312757e-14,-1.624339121417704e-14,3.3857496064287923e-12,54695421798.35074
2022-07-30 14:00:00,3.0073284330976355e-12,3.1271024656601632e-12,1.4605010870594753e-12,1.6300113003455024e-14,-1.631378793373872e-14,3.357206740163013e-12,50384040755.74899
2022-07-30 15:00:00,2.9868760330852604e-12,3.046802571813008e-12,1.5433698885011449e-12,1.6242778287198312e-14,-1.6504608412338033e-14,3.3382281298355708e-12,47044043574.91696
2022-07-30 16:00:00,2.9712705619428874e-12,3.0175140267863547e-12,1.6217866070064203e-12,1.6193168985405148e-14,-1.6799777241624382e-14,3.3266431911250927e-12,44221358092.89479
2022-07-30 17:00:00,2.9555685052047945e-12,2.9950017483655956e-12,1.7051719658997305e-12,1.6153849909771567e-14,-1.7132146242260223e-14,3.312967088591767e-12,41599031369.829346
