time,SO4_UT14-16km_diff,SO2_UT14-16km_diff,DMS_UT14-16km_diff,HMS_UT14-16km_diff,SS_UT14-16km_diff,SF_UT14-16km_diff,NK_UT14-16km_diff
2022-07-28 00:00:00,3.1326129432726992e-12,8.755009005947834e-13,9.510050805358875e-13,1.3925966981112446e-14,-9.333860125873734e-15,3.461419009610545e-12,12319933262.409107
2022-07-28 01:00:00,3.129489617886497e-12,9.698699063309542e-13,9.498287256565628e-13,1.3905705062506938e-14,-9.647431560965279e-15,3.4669979172688857e-12,16865126055.716248
2022-07-28 02:00:00,3.1303655785021745e-12,1.0627405779241508e-12,9.38644924422042e-13,1.3907445249990488e-14,-9.96892998708069e-15,3.4747649810976884e-12,22545896906.546646
2022-07-28 03:00:00,3.1338126192275777e-12,1.160354512140648e-12,9.239576209867871e-13,1.3897748902747023e-14,-1.0279901896975182e-14,3.48313912804688e-12,29316382285.193497
2022-07-28 04:00:00,3.140072034257405e-12,1.2622391728609354e-12,8.980135768358251e-13,1.3891055879963558e-14,-1.0579129690180455e-14,3.49154163761747e-12,37315720443.63431
2022-07-28 05:00:00,3.149863353201755e-12,1.3555861574416275e-12,8.499028324221736e-13,1.3922776763871367e-14,-1.08106040042964e-14,3.5014590755268403e-12,45993667922.101135
2022-07-28 06:00:00,3.162564666349119e-12,1.4303225454046435e-12,8.004323089954766e-13,1.3942924672678928e-14,-1.098455982285118e-14,3.5136945211175263e-12,53461709608.963005
2022-07-28 07:00:00,3.17466152579142e-12,1.4818439578747757e-12,7.721721456047536e-13,1.395570824838154e-14,-1.1128190623667029e-14,3.524417813861507e-12,57427708568.74814
2022-07-28 08:00:00,3.1823599121156927e-12,1.5108290647815184e-12,7.624880456742877e-13,1.3988307875140157e-14,-1.1260825753249696e-14,3.5313702610411558e-12,56991905667.12387
2022-07-28 09:00:00,3.1850430388360187e-12,1.5028422739311512e-12,7.657266988822085e-13,1.401272847592382e-14,-1.1317543916738682e-14,3.532414032841562e-12,53748192544.24353
2022-07-28 10:00:00,3.1839450739068994e-12,1.4744404201204793e-12,7.756598523552635e-13,1.4018981487441218e-14,-1.1341346315601138e-14,3.5284106493165015e-12,50353067968.52469
2022-07-28 11:00:00,3.1793564667562856e-12,1.4453791929899507e-12,7.861917466704019e-13,1.4012035143103156e-14,-1.134703353633514e-14,3.521422426938447e-12,47259963461.89781
2022-07-28 12:00:00,3.1737963173690847e-12,1.4100899446859931e-12,7.725061756454706e-13,1.4011459254378843e-14,-1.1290400120539132e-14,3.513925437920273e-12,44410678913.94748
2022-07-28 13:00:00,3.166656374647912e-12,1.3705474020591888e-12,7.425751577618405e-13,1.4010586347756586e-14,-1.1174691596459434e-14,3.505202421385093e-12,41692135926.443474
2022-07-28 14:00:00,3.1563008405921395e-12,1.3319738789903757e-12,7.1397410593657e-13,1.399560871145608e-14,-1.1070161151790886e-14,3.4939056890567963e-12,39075491936.65416
2022-07-28 15:00:00,3.142636137587431e-12,1.2924476880066254e-12,6.753138420996109e-13,1.3958770359119907e-14,-1.093423350921711e-14,3.48045426217224e-12,36572094686.610054
2022-07-28 16:00:00,3.127540329976442e-12,1.2521978408087887e-12,6.321832222692037e-13,1.3906275522025242e-14,-1.0782309525667435e-14,3.4657239514457022e-12,34182971495.19546
2022-07-28 17:00:00,3.111968546253909e-12,1.2128499080156802e-12,5.947938124259361e-13,1.3843521242861531e-14,-1.063208060838756e-14,3.4502197607906334e-12,31949032528.069893
2022-07-28 18:00:00,3.1006401110825582e-12,1.1750844007648791e-12,5.574712185157481e-13,1.3756486830342491e-14,-1.0494666471890277e-14,3.438005639488422e-12,29978643373.21296
2022-07-28 19:00:00,3.09128176241751e-12,1.1397960098893192e-12,5.275073041438179e-13,1.3669123825629491e-14,-1.0391434913198057e-14,3.4258821460382612e-12,28262066642.865658
2022-07-28 20:00:00,3.080915327047797e-12,1.118295034293249e-12,4.94733538302863e-13,1.3596030170429936e-14,-1.0301086946788875e-14,3.4129942041704257e-12,26770305943.762856
2022-07-28 21:00:00,3.070875449784954e-12,1.1368549069495968e-12,4.241540564365279e-13,1.3532174633869472e-14,-1.0222597082070626e-14,3.4022307170754063e-12,26188058294.63797
2022-07-28 22:00:00,3.062533572877461e-12,1.1711699384056464e-12,3.520508378468674e-13,1.3470717602395097e-14,-1.0159481725762777e-14,3.3956383069661743e-12,27747814664.512512
2022-07-28 23:00:00,3.0566219041332134e-12,1.1987541526058593e-12,3.2096646123841337e-13,1.340020429838896e-14,-1.0096765218265163e-14,3.3922057403310884e-12,30956020516.495117
2022-07-29 00:00:00,3.049358604930452e-12,1.2214308369299514e-12,3.0655741126876183e-13,1.3321093485781845e-14,-1.0028530145958562e-14,3.3878535972089464e-12,34609727051.27527
2022-07-29 01:00:00,3.0417657451213888e-12,1.2459450227697515e-12,3.0126384093680944e-13,1.32622917635821e-14,-9.962054775849861e-15,3.384074481788173e-12,38021881425.328285
2022-07-29 02:00:00,3.0361390947498014e-12,1.2678343668819608e-12,2.9271711968661664e-13,1.32356264350741e-14,-9.889625327406515e-15,3.3798515427991137e-12,41057454872.872215
2022-07-29 03:00:00,3.031993945952732e-12,1.298903285402484e-12,2.776020535244651e-13,1.3191186449424628e-14,-9.833226562013723e-15,3.3756596274898362e-12,44143554142.0804
2022-07-29 04:00:00,3.0283834202257732e-12,1.3383160579648567e-12,2.5956244447186307e-13,1.3136887237104092e-14,-9.792439863648502e-15,3.3717087823651957e-12,47203864185.54991
2022-07-29 05:00:00,3.025036778237808e-12,1.3743525686658973e-12,2.4145348928961686e-13,1.311202442100779e-14,-9.749071627199179e-15,3.3675820211426303e-12,49825033557.56629
2022-07-29 06:00:00,3.0166026108782488e-12,1.4115784412677532e-12,2.4038004101929864e-13,1.3088773980735768e-14,-9.717874806431526e-15,3.3621356558046418e-12,51879531994.28682
2022-07-29 07:00:00,3.0036442290566766e-12,1.4501154093483034e-12,2.551171072031913e-13,1.3077991600868884e-14,-9.711745680001406e-15,3.3511953190693778e-12,52720321312.19826
2022-07-29 08:00:00,2.9878497225186e-12,1.4838002241054176e-12,2.80312626497393e-13,1.308868947562855e-14,-9.707082917290918e-15,3.336194267815309e-12,52089511717.56459
2022-07-29 09:00:00,2.96949612420505e-12,1.4970521886233846e-12,3.4415796629485803e-13,1.3082676640958022e-14,-9.748127042668766e-15,3.3185617761594315e-12,49836374913.04344
2022-07-29 10:00:00,2.951158895257037e-12,1.4864136216664775e-12,4.556700253827385e-13,1.3195237454696576e-14,-9.945897588416649e-15,3.299001402514761e-12,46506689228.317375
2022-07-29 11:00:00,2.933674633390882e-12,1.4642335327856854e-12,6.139870429902433e-13,1.3371896871187171e-14,-1.0363581832037697e-14,3.2796995210162666e-12,43330139297.32513
2022-07-29 12:00:00,2.9178120997112122e-12,1.42910397450708e-12,9.123521861065025e-13,1.3543280215009683e-14,-1.1178703909237365e-14,3.264285426498468e-12,40044213574.73286
